"","x"
"1257","Lrif1"
"1258","Lrig1"
"1259","Lrp10"
"1260","Lrp11"
"1261","Lrp5"
"1262","Lrpap1"
"1263","Lrrc20"
"1264","Lrrc41"
"1265","Lrrc47"
"1266","Lrrc59"
"1267","Lrrc61"
"1268","Lrrc8c"
"1269","Lrwd1"
"1270","Lsm12"
"1271","Lsm14a"
"1272","Lss"
"1273","Luc7l2"
"1274","Lypla1"
"1275","Lypla2"
"1276","Lyrm1"
"1277","Lyrm9"
"1278","Lysmd1"
"1279","Lztfl1"
"1280","Lzts2"
"1281","Mab21l3"
"1282","Macf1"
"1283","Mad2l1"
"1284","Maff"
"1285","Mafk"
"1286","Magea13"
"1287","Mal2"
"1288","Man1b1"
"1289","Man2a2"
"1290","Man2b1"
"1291","Man2b2"
"1292","Man2c1"
"1293","Map1s"
"1294","Map2k6"
"1295","Map3k11"
"1296","Map3k12"
"1297","Map3k4"
"1298","Map4k2"
"1299","Map7"
"1300","Map7d3"
"1301","Mapk1ip1"
"1302","Mapk1ip1l"
"1303","Mapk3"
"1304","Mapk4"
"1305","Mapk6"
"1306","Mapk8ip3"
"1307","Mapkbp1"
"1308","Marcksl1"
"1309","Mark2"
"1310","Mark3"
"1311","Mast4"
"1312","Mastl"
"1313","Mblac2"
"1314","Mbnl1"
"1315","Mboat2"
"1316","Mboat7"
"1317","Mbp"
"1318","Mcee"
"1319","Mcfd2"
"1320","Mcm10"
"1321","Mcm2"
"1322","Mcm3"
"1323","Mcm3ap"
"1324","Mcm4"
"1325","Mcm5"
"1326","Mcm6"
"1327","Mcm7"
"1328","Mdc1"
"1329","Mdh1"
"1330","Mdm1"
"1331","Mdp1"
"1332","Me1"
"1333","Meak7"
"1334","Mecom"
"1335","Med12"
"1336","Med14"
"1337","Med15"
"1338","Med19"
"1339","Med20"
"1340","Med24"
"1341","Med25"
"1342","Med26"
"1343","Med28"
"1344","Med29"
"1345","Med4"
"1346","Mef2c"
"1347","Megf9"
"1348","Melk"
"1349","Men1"
"1350","Mepce"
"1351","Mertk"
"1352","Metrn"
"1353","Mettl15"
"1354","Mettl25"
"1355","Mettl26"
"1356","Mfap3l"
"1357","Mfge8"
"1358","Mfsd1"
"1359","Mfsd13a"
"1360","Mfsd3"
"1361","Mfsd4a"
"1362","Mgam"
